id,date,Venue,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,won_by,player_of_the_match,most_runs,most_wkts
58,"May 9,2024","Himachal Pradesh Cricket Association Stadium, Dharamsala",Banglore,Punjab,Punjab,Field,241,7,181,10,Banglore,Runs,Virat Kohli,Virat Kohli,Harshal Patel
59,"May 10,2024","Narendra Modi Stadium, Ahmedabad",Gujarat,Chennai,Chennai,Field,231,3,196,8,Gujarat,Runs,Shubman Gill,Shubman Gill,Mohit Sharma
60,"May 11,2024","Eden Gardens, Kolkata",Kolkata,Mumbai,Mumbai,Field,157,7,139,8,Kolkata,Runs,Varun Chakravarthy,Venkatesh Iyer,Varun Chakravarthy
61,"May 12,2024","MA Chidambaram Stadium, Chennai",Rajasthan,Chennai,Rajasthan,Bat,141,5,145,5,Chennai,Wickets,Simarjeet Singh,Riyan Parag,Simarjeet Singh
62,"May 12,2024","M Chinnaswamy Stadium, Bengaluru",Banglore,Delhi,Delhi,Field,187,9,140,10,Banglore,Runs,Cameron Green,Axar Patel,Yash Dayal
63,"May 13,2024","Narendra Modi Stadium, Ahmedabad",Gujarat,Kolkata,No Toss,NULL,0,0,0,0,Abandoned,no result,NULL,NULL,NULL
64,"May 14,2024","Arun Jaitley Stadium, Delhi",Delhi,Lucknow,Lucknow,Field,208,4,189,9,Delhi,Runs,Ishant Sharma,Nicholas Pooran,Ishant Sharma
65,"May 15,2024","Barsapara Cricket Stadium, Guwahati",Rajasthan,Punjab,Rajasthan,Bat,144,9,145,5,Punjab,Wickets,Sam Curran,Sam Curran,Rahul Chahar
66,"May 16,2024","Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Gujarat,No Toss,NULL,0,0,0,0,Abandoned,no result,NULL,NULL,NULL
67,"May 17,2024","Wankhede Stadium, Mumbai",Lucknow,Mumbai,Mumbai,Field,214,6,196,6,Lucknow,Runs,Nicholas Pooran,Nicholas Pooran,Nuwan Thushara
68,"May 18,2024","M Chinnaswamy Stadium, Bengaluru",Banglore,Chennai,Chennai,Field,218,5,191,7,Banglore,Runs,Faf du Plessis,Rachin Ravindra,Yash Dayal
69,"May 19,2024","Rajiv Gandhi International Stadium, Hyderabad",Punjab,Hyderabad,Punjab,Bat,214,5,215,6,Hyderabad,Wickets,Abhishek Sharma,Prabhsimran Singh,T Natarajan
70,"May 19,2024","Barsapara Cricket Stadium, Guwahati",Rajasthan,Kolkata,Kolkata,NULL,0,0,0,0,Abandoned,no result,NULL,NULL,NULL
71,"May 21,2024","Narendra Modi Stadium, Ahmedabad",Hyderabad,Kolkata,Hyderabad,Bat,159,10,164,2,Kolkata,Wickets,Mitchell Starc,Shreyas Iyer,Mitchell Starc
72,"May 22,2024","Narendra Modi Stadium, Ahmedabad",Banglore,Rajasthan,Rajasthan,Field,172,8,174,6,Rajasthan,Wickets,Ravichandran Ashwin,Yashasvi Jaiswal,Avesh Khan
73,"May 24,2024","MA Chidambaram Stadium, Chennai",Hyderabad,Rajasthan,Rajasthan,Field,175,9,139,7,Hyderabad,Runs,Shahbaz Ahmed,Dhruv Jurel ,Shahbaz Ahmed
74,"May 26,2024","MA Chidambaram Stadium, Chennai",Hyderabad,Kolkata,Hyderabad,Bat,113,10,114,2,Kolkata,Wickets,Mitchell Starc,Venkatesh Iyer,Andre Russell
